The binary number in column 1 represents the coefficients taken , 1 => +1 coefficient, 0 => -1 coefficient 
 Coefficients     Steps to walk till sign change     Evaluated value(sorted)
********************************************************************************
For n = 2
01111011     2     8.878788621349742 
11001111     2     8.945969184811359 
11101100     2     8.977995765264174 
10110111     2     9.029798061000145 
11010111     2     9.338492321374185 
11110100     2     9.370518901827 
10111011     2     9.456641591566921 
11011011     2     9.76533585194096 
11111000     2     9.797362432393776 
01111101     2     9.886822961211566 
11100111     2     10.371545019581763 
10111101     2     10.464675931428745 
01111110     2     10.52249745160313 
11011101     2     10.773370191802787 
11101011     2     10.79838855014854 
10111110     2     11.100350421820309 
11110011     2     11.190911686711365 
11011110     2     11.40904468219435 
11101101     2     11.806422890010364 
11110101     2     12.19894602657319 
11101110     2     12.442097380401927 
11111001     2     12.625789557139965 
11110110     2     12.834620516964753 
11111010     2     13.261464047531529 
01111111     3     13.35092457634932 
10111111     3     13.9287775465665 
11011111     3     14.23747180694054 
11111100     3     14.269498387393355 
11101111     3     15.270524505148119 
11110111     3     15.663047641710945 
11111011     3     16.08989117227772 
11111101     3     17.097925512139543 
11111110     3     17.73360000253111 
11111111     4     20.562027127277297 
********************************************************************************
For n = 9
101011000     1     0.0033619479029787236 
000111110     1     0.14759048411838904 
110010100     1     0.15437138755338076 
110100010     1     0.17938974589913315 
001110011     1     0.2381517490094449 
100100111     1     0.2688502747169257 
011000111     1     0.30533231247106185 
011100100     1     0.3373588929238758 
010011101     1     0.39846322431804504 
010101011     1     0.42348158266379743 
001011110     1     0.45628474449243006 
111000010     1     0.4880840062731746 
101000111     1     0.5775445350909663 
110011000     1     0.5812149181201569 
101100100     1     0.6095711155437802 
100011101     1     0.6706754469379494 
100101011     1     0.6956938052837018 
011001011     1     0.732175843037838 
011101000     1     0.7642024234906519 
010110011     1     0.816004719226624 
001101101     1     0.8536629523084431 
101001011     1     1.0043880656577424 
010011110     1     1.0341377147096096 
101101000     1     1.0364146461105563 
100110011     1     1.088216941846528 
011010011     1     1.1246989796006637 
110000111     1     1.1553975053081444 
011110000     1     1.1567255600534776 
110100100     1     1.1874240857609593 
001110101     1     1.2461860888712688 
100011110     1     1.3063499373295135 
101010011     1     1.396911202220568 
101110000     1     1.428937782673382 
010101101     1     1.4315159225256227 
001101110     1     1.4893374427000068 
111000100     1     1.496118346134999 
110001011     1     1.5822410358749206 
110101000     1     1.6142676163277354 
001111001     1     1.673029619438045 
100101101     1     1.7037281451455266 
011001101     1     1.7402101828996632 
010110101     1     1.8240390590884483 
001110110     1     1.8818605792628325 
111001000     1     1.922961876701775 
110010011     1     1.9747641724377463 
110110000     1     2.006790752890561 
101001101     1     2.0124224055195676 
010101110     1     2.0671904129171863 
100110101     1     2.0962512817083523 
011010101     1     2.132733319462489 
011100011     1     2.1577516778082413 
010111001     1     2.2508825896552245 
001111010     1     2.3087041098296086 
111010000     1     2.3154850132646008 
100101110     1     2.3394026355370903 
011001110     1     2.375884673291227 
101010101     1     2.4049455420823933 
101100011     1     2.4299639004281457 
010110110     1     2.459713549480012 
100111001     1     2.5230948122751284 
011011001     1     2.559576850029265 
110001101     1     2.5902753757367467 
101001110     1     2.6480968959111313 
100110110     1     2.731925772099916 
011010110     1     2.7684078098540525 
101011001     1     2.8317890726491695 
010111010     1     2.886557080046788 
000111111     1     2.97601760886458 
110010101     1     2.9827985122995724 
110100011     1     3.0078168706453248 
101010110     1     3.040620032473957 
100111010     1     3.158769302666692 
011100101     1     3.1657860176700665 
011011010     1     3.1952513404208287 
110001110     1     3.2259498661283104 
001011111     1     3.28471186923862 
111000011     1     3.3165111310193645 
001111100     1     3.3167384496914347 
111100000     1     3.3485377114721793 
110011001     1     3.409642042866348 
101100101     1     3.437998240289971 
101011010     1     3.467463563040733 
011101001     1     3.5926295482368427 
110010110     1     3.6184730026911356 
011100110     1     3.80146050806163 
010011111     1     3.8625648394557994 
101101001     1     3.864841770856747 
010111100     1     3.8945914199086142 
011110001     1     3.9851526847996683 
110100101     1     4.015851210507149 
110011010     1     4.045316533257912 
101100110     1     4.073672730681535 
100011111     1     4.134777062075703 
100111100     1     4.166803642528518 
011011100     1     4.203285680282654 
011101010     1     4.228304038628407 
101110001     1     4.257364907419572 
001101111     1     4.317764567446199 
111000101     1     4.324545470881191 
110101001     1     4.442694741073925 
101011100     1     4.475497902902558 
101101010     1     4.50051626124831 
011110010     1     4.620827175191232 
110100110     1     4.651525700898713 
001110111     1     4.7102877040090245 
111001001     1     4.751389001447967 
110110001     1     4.835217877636751 
101110010     1     4.893039397811136 
010101111     1     4.895617537663378 
111000110     1     4.960219961272754 
110011100     1     5.0533508731197365 
110101010     1     5.078369231465489 
