The binary number in column 1 represents the coefficients taken , 1 => +1 coefficient, 0 => -1 coefficient 
 Coefficients     Steps till sign change    Evaluated value    Traced
********************************************************************************
For n = 2
1100111     2     6.7659937441177735    1100111 => 1100110 => 1100010
1101000     1     0.9003085348006041    1101000 => 1100000
1101001     1     3.728735659546795    1101001 => 1100001
1101010     1     4.364410149938358    1101010 => 1100010
1101011     2     7.19283727468455    1101011 => 1100011 => 1100010
1101100     1     5.372444489800184    1101100 => 1001100
1101101     2     8.200871614546374    1101101 => 1101001 => 1100001
1101110     2     8.836546104937938    1101110 => 1101100 => 1001100
1101111     2     11.66497322968413    1101111 => 1001111 => 0001111
1110000     1     1.2928316713634298    1110000 => 1100000
1110001     1     4.12125879610962    1110001 => 1100001
1110010     1     4.756933286501184    1110010 => 1100010
1110011     2     7.585360411247375    1110011 => 1110010 => 1100010
1110100     1     5.76496762636301    1110100 => 1010100
1110101     2     8.5933947511092    1110101 => 1110100 => 1010100
1110110     2     9.229069241500763    1110110 => 1100110 => 1100010
1110111     2     12.057496366246955    1110111 => 1010111 => 0010111
1111000     1     6.191811156929786    1111000 => 1011000
1111001     2     9.020238281675976    1111001 => 1111000 => 1011000
1111010     2     9.65591277206754    1111010 => 1110010 => 1100010
1111011     2     12.484339896813731    1111011 => 1011011 => 0011011
1111100     2     10.663947111929366    1111100 => 1111000 => 1011000
1111101     3     13.492374236675555    1111101 => 1111001 => 1111000 => 1011000
1111110     3     14.12804872706712    1111110 => 1111100 => 1111000 => 1011000
1111111     3     16.95647585181331    1111111 => 1111011 => 1011011 => 0011011
********************************************************************************
For n = 8
00011111     1     0.39311967530176206    00011111 => 00011110
00101111     1     1.4261723735093406    00101111 => 00101110
00110111     1     1.8186955100721662    00110111 => 00110110
00111011     1     2.2455390406389424    00111011 => 00111010
00111100     1     0.4251462557545769    00111100 => 00111000
00111101     1     3.2535733805007667    00111101 => 00111001
00111110     1     3.8892478708923304    00111110 => 00111010
00111111     2     6.7176749956385216    00111111 => 00111011 => 00111010
01001111     1     1.7348666338833802    01001111 => 01001110
01010111     1     2.127389770446206    01010111 => 01010110
01011011     1     2.554233301012982    01011011 => 01011010
01011100     1     0.7338405161286166    01011100 => 01011000
01011101     1     3.562267640874808    01011101 => 01011001
01011110     1     4.197942131266371    01011110 => 01011010
01011111     2     7.026369256012561    01011111 => 01011011 => 01011010
01100110     1     0.33201534390759324    01100110 => 01100100
01100111     1     3.1604424686537844    01100111 => 01100101
01101001     1     0.12318438408280574    01101001 => 01101000
01101010     1     0.758858874474369    01101010 => 01101000
